ein,organization_name,dba_name,entity_type, total_participants ,plan_count,mail_us_address1,mail_us_address2,mail_us_city,mail_us_state,mail_us_zip,phone_num,web site domain,Chief Executive Officer/CEO,Chief Financial Officer/CFO,President,Vice President/VP ,Secretary Treasurer,Treasurer,Executive Vice President,Executive Director,Director of Finance,Chief Counsel,Deputy Chief Counsel,Preisent & CEO,email domain
941645611,SAN FRANCISCO CULINARY BARTENDERS & SERVICE EMPLOYEES WELFARE FUND,SERVICE EMPLOYEES WELFARE FUND,Taft-Hartley Trust,"12,491",1,2323 EASTLAKE AVE E,,SEATTLE,WA,98102,2067263271,,,,,,,,,,,,,,
362151212,HLTH & WELF DEPT-CONST & GEN.LABOR GEN. LABORERS DISTR CNCIL OF CHGO,,Taft-Hartley Trust,"12,468",1,11465 CERMAK ROAD,,WESTCHESTER,IL,60154,7085620200,,,,,,,,,,,,,,
996008823,AFL HOTEL & RESTAURANT WORKERS HEALTH & WELFARE PLAN,,Taft-Hartley Trust,"12,408",1,"560 N NIMITZ HWY, SUITE 209",,HONOLULU,HI,96817,8085230199,,,,,,,,,,,,,,
912009771,"BOARD OF TRUSTEES, WA STATE COUNCIL",OF FIRE FIGHTERS EMP BENEFIT TRUST,Taft-Hartley Trust,"12,368",1,P.O. BOX 6,,MUKILTEO,WA,98275,4257717359,,,,,,,,,,,,,,
526038507,TRUSTEES FOR THE ELECTRICAL WELFARE TRUST FUND,,Taft-Hartley Trust,"12,343",1,"10003 DEREKWOOD LANE, SUITE 130",,LANHAM,MD,20706,3017311050,,,,,,,,,,,,,,
150532081,SYRACUSE UNIVERSITY,,Taft-Hartley Trust,"12,317",3,"SKYTOP OFFICE BUILDING, SUITE 101",640 SKYTOP ROAD,SYRACUSE,NY,13244,3154435462,,,,,,,,,,,,,,
150551885,TRUSTEES OF NYS TEAMSTERS COUNCIL HEALTH & HOSPITAL FUND,,Taft-Hartley Trust,"12,267",1,PO BOX 4928,,SYRACUSE,NY,13221,3154559790,,,,,,,,,,,,,,
362174823,RUSH UNIVERSITY MEDICAL CENTER,,Taft-Hartley Trust,"12,180",1,1700 WEST VAN BUREN STREET,SUITE 265,CHICAGO,IL,60612,3129425647,,,,,,,,,,,,,,
210681336,"BOARD OF TRUSTEES, UNITED FOOD AND COMMERCIAL WORKERS LOCAL 152 HEALTH",,Taft-Hartley Trust,"12,096",1,"27 ROLAND AVE, SUITE 100",,MOUNT LAUREL,NJ,80541,8567931547,,,,,,,,,,,,,,
237017278,"BOARD OF TRUSTEES, UFCW LOCAL 555-EMPLOYERS HEALTH",TRUST,Taft-Hartley Trust,"11,937",1,12205 SW TUALATIN RD STE 200,,TUALATIN,OR,97062,8667967623,,,,,,,,,,,,,,
221582446,LOCAL 464A-UNITED FOOD & COMMERCIAL WORKERS UNION WELFARE SERVICE BENE,,Taft-Hartley Trust,"11,893",1,245 PATERSON AVENUE,,LITTLE FALLS,NJ,7424,9732566790,,,,,,,,,,,,,,
237108536,TRUSTEES WRITERS GUILD - INDUSTRY HEALTH FUND,,Taft-Hartley Trust,"11,754",1,"2900 W. ALAMEDA AVENUE, SUITE 1100",,BURBANK,CA,91505,8188461015,,,,,,,,,,,,,,
60850110,BOARD OF TRUSTEES TRI STATE JOINT FUND,,Taft-Hartley Trust,"11,712",1,609 WEST JOHNSON AVE,2ND FLOOR,CHESHIRE,CT,6410,2032502601,,,,,,,,,,,,,,
237100610,UNITED FOOD & COMMERCIAL WORKERS LOCAL 711 & RETAIL FOOD EMPLOYERS BEN,,Taft-Hartley Trust,"11,683",1,"5251 GREEN STREET, SUITE 200",,MURRAY,UT,84123,8004534584,,,,,,,,,,,,,,
113805568,HEALTH BOARD,,Taft-Hartley Trust,"11,655",1,"200 ST. PAUL STREET, SUITE 2420",,BALTIMORE,MD,21202,8006383186,,,,,,,,,,,,,,
936021475,BD OF TRUSTEES OF OREGON TEAMSTER EMPLOYERS TRUST,,Taft-Hartley Trust,"11,637",1,PO BOX 4148,PO BOX 4148,PORTLAND,OR,97208,5032825581,,,,,,,,,,,,,,
160915820,BRD OF TTEES UFCW LOCAL ONE ACTIVE HEALTH CARE FUND,,Taft-Hartley Trust,"11,390",2,5911 AIRPORT ROAD,,ORISKANY,NY,13424,3157979600,,,,,,,,,,,,,,
916028570,BOARD OF TRUSTEES LOCALS 302 & 612 IUOE HEALTH &,CONST. IND. HEALTH AND,Taft-Hartley Trust,"11,375",1,PO BOX 34203,,SEATTLE,WA,98124,2064417574,,,,,,,,,,,,,,
846044454,JOINT BOARD OF TRUSTEES FOR THE ROCKY MTN EMPLOYERS HEALTH BENEFIT PLA,,Taft-Hartley Trust,"11,324",2,5511 W. 56TH AVENUE,SUITE 250,ARVADA,CO,80002,3034301118,,,,,,,,,,,,,,
221458594,BOARD OF TRUSTEES OF THE UFCW NATIONAL HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"11,260",1,66 GRAND AVENUE,,ENGLEWOOD,NJ,7631,2015698801,,,,,,,,,,,,,,
956048844,TEAMSTERS AND FOOD EMPLOYERS SECURITY TRUST FUND,,Taft-Hartley Trust,"11,173",1,"1050 LAKES DRIVE, SUITE 120",,WEST COVINA,CA,91790,6266461075,,,,,,,,,,,,,,
314379427,BATTELLE MEMORIAL INSTITUTE,,Taft-Hartley Trust,"11,114",3,505 KING AVENUE ROOM 11-6-125,,COLUMBUS,OH,43201,6144243629,,,,,,,,,,,,,,
135537605,BOARD OF TRUSTEES OF MASON TENDERS DISTRICT COUNCIL WELFARE FUND,,Taft-Hartley Trust,"11,104",1,"520 EIGHTH AVENUE, SUITE 600",,NEW YORK,NY,10018,2124529700,,,,,,,,,,,,,,
941206350,BOARD OF TRUSTEES OF CA SERVICE EMPLOYEES HEALTH AND WELFARE TRUST FUN,,Taft-Hartley Trust,"11,043",1,"1000 MARINA BLVD, STE 400",,BRISBANE,CA,94005,6505707300,,,,,,,,,,,,,,
150613682,SERVICE EMPLOYEES BENEFIT FUND,,Taft-Hartley Trust,"10,992",1,PO BOX 1240,,SYRACUSE,NY,13204,3152186513,,,,,,,,,,,,,,
42214296,MASSACHUSETTS LABORERS HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"10,930",1,1400 DISTRICT AVENUE,SUITE 200,BURLINGTON,MA,18035,7812721000,,,,,,,,,,,,,,
364046278,RUSH SYSTEM FOR HEALTH ATTENTION BRENT ESTES,,Taft-Hartley Trust,"10,925",1,1645 W. JACKSON,SUITE 501,CHICAGO,IL,60612,3129424061,,,,,,,,,,,,,,
381940673,"JOINT BOARD OF TRUSTEES, OPERATING ENGINEERS LOCAL 324",,Taft-Hartley Trust,"10,917",1,700 TOWER DRIVE,SUITE 300,TROY,MI,48098,2488362760,,,,,,,,,,,,,,
200225592,ALLIANCE OF WESTERN NEW YORK BENEFIT FUND,,Taft-Hartley Trust,"10,745",1,2914 PINE AVENUE,,NIAGARA FALLS,NY,14301,7162987646,,,,,,,,,,,,,,
231575634,LABORERS' DISTRIC COUNCIL BUILDING & CONSTRUCTION HEALTH & WELFARE FUN,,Taft-Hartley Trust,"10,465",4,"665 N. BROAD STREET, 2ND FL.",,PHILADELPHIA,PA,19123,2152366700,,,,,,,,,,,,,,
362141703,TRUSTEES OF PIPE FITTERS WELFARE FUND LOCAL 597,,Taft-Hartley Trust,"10,315",1,45 NORTH OGDEN AVENUE,,CHICAGO,IL,60607,3126330597,,,,,,,,,,,,,,
912017261,HEWT ADMINISTRATIVE COMMITTEE,,Taft-Hartley Trust,"10,306",2,"PO BOX 650, MSIN H3-08",,RICHLAND,WA,99352,5093723323,,,,,,,,,,,,,,
350923209,BOARD OF TRUSTEES INDIANA LABORERS WELFARE FUND,,Taft-Hartley Trust,"10,241",1,413 SWAN STREET,,TERRE HAUTE,IN,47807,8122382551,,,,,,,,,,,,,,
951867598,JOINT BOARD OF TRUSTEES SOUTHERN CALIFORNIA PIPE TRADES HEALTH AND WE,,Taft-Hartley Trust,"10,200",1,"501 SHATTO PLACE, 5TH FLOOR",,LOS ANGELES,CA,90020,2133856161,,,,,,,,,,,,,,
911283260,"BOARD OF TRUSTEES, NORTHWEST LABORERS-EMPLOYERS H & S",,Taft-Hartley Trust,"10,194",1,"11724 NE 195TH STREET, SUITE 300",,BOTHELL,WA,98011,2062824100,,,,,,,,,,,,,,
237166771,TRUSTEES-OPERATING ENGINEERS LOCAL 139 HEALTH BENEFIT FUND,,Taft-Hartley Trust,"10,172",1,PO BOX 160,N27 W23233 ROUNDY DRIVE,PEWAUKEE,WI,53072,2625499190,,,,,,,,,,,,,,
956474516,"BOARD OF TRUSTEES, SOUTHERN CALIFORNIA DRUG BENEFIT",FUND,Taft-Hartley Trust,"10,068",1,2220 HYPERION AVE,,LOS ANGELES,CA,90027,3236668910,,,,,,,,,,,,,,
232825881,TEMPLE UNIVERSITY HEALTH SYSTEM,,Taft-Hartley Trust,"9,954",1,2450 WEST HUNTING PARK AVE,9TH FLOOR,PHILADELPHIA,PA,19129,2157078930,,,,,,,,,,,,,,
530237142,JOINT BOARD OF TRUSTEES TEAMSTERS LOCAL 639 - EMPLOYERS PENSION TRUST,,Taft-Hartley Trust,"9,911",1,"CARDAY ASSOCIATES, INC.","3130 AMES PLACE, NE",WASHINGTON,DC,20018,2026368181,,,,,,,,,,,,,,
132832806,BOARD OF TRUSTEES UFCW LOCAL 2013 HEALTH & WELFARE FUND,,Taft-Hartley Trust,"9,839",1,9235 4TH AVENUE,,BROOKLYN,NY,11209,7187453487,,,,,,,,,,,,,,
136058836,PENSION COMMITTEE OF MLB PLAYERS BENEFIT PLAN,,Taft-Hartley Trust,"9,832",1,911 RIDGEBROOK ROAD,,SPARKS,MD,21152,4106836500,,,,,,,,,,,,,,
936023048,HARRISON ELECTRICAL WORKERS TRUST FUND BOARD OF TRUSTEES,,Taft-Hartley Trust,"9,712",1,5331 SW MACADAM AVE STE 258 PMB 116,,PORTLAND,OR,97239,5032240048,,,,,,,,,,,,,,
237067289,"BOARD OF TRUSTEES, DIRECTORS GUILD OF AMERICA -",PRODUCER HEALTH PLAN,Taft-Hartley Trust,"9,663",1,5055 WILSHIRE BLVD STE 600,,LOS ANGELES,CA,90036,3238662200,,,,,,,,,,,,,,
221481564,"BOARD OF TRUSTEES, HEAVY & GENERAL LABORERS WELFARE FUND OF NEW JERSEY",,Taft-Hartley Trust,"9,597",1,700 RAYMOND BOULEVARD,,NEWARK,NJ,71052,9735895050,,,,,,,,,,,,,,
237255573,DIVISION 1181 ATU - NEW YORK WELFARE FUND,,Taft-Hartley Trust,"9,427",1,20 NORTH CENTRAL AVENUE,,VALLEY STREAM,NY,11580,7188455800,,,,,,,,,,,,,,
135557534,BOARD OF TRUSTEES SEAFARERS HEALTH AND BENEFITS PLAN,,Taft-Hartley Trust,"9,386",1,5201 AUTH WAY,,CAMP SRINGS,MD,20746,3018990675,,,,,,,,,,,,,,
411754276,CHILDRENS HOSPITALS AND CLINICS OF MINNESOTA,,Taft-Hartley Trust,"9,101",2,2525 CHICAGO AVENUE SOUTH,,MINNEAPOLIS,MN,55404,6128136129,,,,,,,,,,,,,,
231392600,BOARD OF TRUSTEES OF TEAMSTERS HEALTH & WELFARE FUND OF PHILA & VICINI,,Taft-Hartley Trust,"9,081",1,"2500 MCCLELLAN AVENUE, SUITE 140",,PENNSAUKEN,NJ,8109,8565232400,,,,,,,,,,,,,,
946096327,OPERATING ENGINEERS UNION 3 PENSIONED HEALTH AND WELFARE FUND,PENSIONED HEALTH AND WELFARE FUND,Taft-Hartley Trust,"9,075",1,1600 HARBOR BAY PKWY STE 200,,ALAMEDA,CA,94502,5106718800,,,,,,,,,,,,,,
453864076,BEACON HEALTH SYSTEM,,Taft-Hartley Trust,"9,029",1,615 N MICHIGAN ST,,SOUTH BEND,IN,46601,5746471000,,,,,,,,,,,,,,
231574984,"BOARD OF ADMINISTRATION, CARPENTERS' HEALTH &",WELFARE FUND OF PHILADELPHIA AND VICINIT,Taft-Hartley Trust,"9,023",1,1811 SPRING GARDEN STREET,,PHILADELPHIA,PA,19130,2155680430,,,,,,,,,,,,,,
133467049,"BOARD OF TRUSTEES, AFTRA HEALTH FUND",,Taft-Hartley Trust,"9,021",1,"261 MADISON AVE., FL. 7",,NEW YORK,NY,10016,2124994800,,,,,,,,,,,,,,
251854772,THE MILTON S. HERSHEY MEDICAL CENTER,,Taft-Hartley Trust,"8,878",1,500 UNIVERSITY DRIVE,,HERSHEY,PA,17033,7175318521,,,,,,,,,,,,,,
412261950,DISTRICT COUNCIL 16 OF NORTHERN CALIFORNIA,HEALTH & WELFARE TRUST FUND,Taft-Hartley Trust,"8,865",1,4160 DUBLIN BLVD. SUITE 400,,DUBLIN,CA,94568,8009229902,,,,,,,,,,,,,,
911250116,SEATTLE CHILDREN'S HOSPITAL,,Taft-Hartley Trust,"8,756",1,P.O. BOX 5371 MS RC-507,,SEATTLE,WA,98145,2069872111,,,,,,,,,,,,,,
135638505,BOARD OF TRUSTEES,,Taft-Hartley Trust,"8,702",1,10 EXCHANGE PLACE SUITE 1400,,JERSEY CITY,NJ,7302,2014793605,,,,,,,,,,,,,,
232949242,TRUSTEES OF UFCW LOCAL 1776 & PART EMPLOYERS H & W FUND,,Taft-Hartley Trust,"8,652",1,3031-B WALTON ROAD,,PLYMOUTH MEETING,PA,19462,6109419400,,,,,,,,,,,,,,
43314093,BOSTON MEDICAL CENTER,,Taft-Hartley Trust,"8,632",1,"85 EAST CONCORD STREET, 2ND FLOOR",5TH FLOOR,BOSTON,MA,2118,6176388500,,,,,,,,,,,,,,
916033601,"BOARD OF TRUSTEES, WESTERN TEAMSTERS WELFARE TRUST",,Taft-Hartley Trust,"8,546",1,225 S LAKE AVE STE 1200,,PASADENA,CA,91101,6264636041,,,,,,,,,,,,,,
237401847,"UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL NO. 655, WELFARE FUND",,Taft-Hartley Trust,"8,442",1,13537 BARRETT PARKWAY DR,SUITE 100,ST LOUIS,MO,63021,3148352700,,,,,,,,,,,,,,
840730298,"BOARD OF TRUSTEES, EIGHTH DISTRICT ELECTRICAL BENEFIT",FUND,Taft-Hartley Trust,"8,413",1,2156 W 2200 S,,SALT LAKE CITY,UT,84119,8019731001,,,,,,,,,,,,,,
860053220,SALT RIVER VALLEY WATER USERS ASSOCIATION,,Taft-Hartley Trust,"8,397",1,PO BOX 52025 CUB242,,PHOENIX,AZ,85072,6022363657,,,,,,,,,,,,,,
237259768,TRUSTEES OF IBEW - NECA SWHBF,IBEW-NECA SWHBF,Taft-Hartley Trust,"8,330",1,"4101 MCEWEN, SUITE 600",,DALLAS,TX,75244,9729801123,,,,,,,,,,,,,,
956140101,"BOARD OF TRUSTEES, SOUTHERN CALIFORNIA IBEW-NECA",HEALTH TRUST FUND,Taft-Hartley Trust,"8,311",1,6023 GARFIELD AVE,,COMMERCE,CA,90040,3232215861,,,,,,,,,,,,,,
230958275,CROSSSTATE CREDIT UNION ASSOCIATION,,Taft-Hartley Trust,"8,302",5,4309 NORTH FRONT STREET,,HARRISBURG,PA,17110,7172343156,,,,,,,,,,,,,,
200027580,UTILITY WORKERS UNION OF AMERICA NATIONAL HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"8,282",1,6525 CENTURION DRIVE,,LANSING,MI,48917,5173217502,,,,,,,,,,,,,,
371752023,BOARD OF TRUSTEES MIDWEST OPERATING ENGINEERS RETIREE WELFARE PLAN,,Taft-Hartley Trust,"8,282",1,6150 JOLIET ROAD,,COUNTRYSIDE,IL,60525,7084827300,,,,,,,,,,,,,,
430648504,TRUSTEES OF DIST. NO 9 INT'L ASSOC OF MACHINISTS WELFARE TRUST,,Taft-Hartley Trust,"8,233",2,12365 ST. CHARLES ROCK ROAD,,BRIDGETON,MO,63044,3147396642,,,,,,,,,,,,,,
996014752,HAWAII CARPENTERS HEALTH AND WELFARE,,Taft-Hartley Trust,"8,210",2,200 N. VINEYARD BLVD,SUITE 100,HONOLULU,HI,96817,8088417575,,,,,,,,,,,,,,
581236802,ITPEU HEALTH & WELFARE FUND,,Taft-Hartley Trust,"8,175",1,P.O. BOX 18307,,GARDEN CITY,GA,31418,9123527169,,,,,,,,,,,,,,
560475645,STATE EMPLOYEES CREDIT UNION,,Taft-Hartley Trust,"8,046",1,119 N SALISBURY ST,,RALEIGH,NC,27603,9198395180,,,,,,,,,,,,,,
133269303,TRANSPORT WORKERS UNION LOCAL 100 RETIREES' ASSOCIATION,,Taft-Hartley Trust,"8,000",1,"195 MONTAGUE STREET, 3RD FLOOR",2ND FLOOR,BROOKLYN,NY,11201,2128736000,,,,,,,,,,,,,,
383508105,JOINT BOARD OF TRUSTEES OF MRCC EMPLOYEE BENEFITS FUND,,Taft-Hartley Trust,"7,988",1,P.O. BOX 4540,,TROY,MI,48099,2486414950,,,,,,,,,,,,,,
46063733,HEALTH AND WELFARE TRUST FUND LOCAL 103 IBEW,WORKERS LOCAL 103 IBEW,Taft-Hartley Trust,"7,969",1,256 FREEPORT STREET,2ND FLOOR,BOSTON,MA,2122,6172885999,,,,,,,,,,,,,,
46374631,"BOARD OF TRUSTEES, TEAMSTERS UNION INSURANCE PLAN",,Taft-Hartley Trust,"7,949",1,16 SEVER STREET,,CHARLESTOWN,MA,2129,6172419220,,,,,,,,,,,,,,
237007718,GREATER PENNSYLVANIA CARPENTERS' MEDICAL PLAN,,Taft-Hartley Trust,"7,925",1,"650 RIDGE ROAD, STE 300",,PITTSBURGH,PA,15205,4129225330,,,,,,,,,,,,,,
350876396,"UNION HOSPITAL, INC",,Taft-Hartley Trust,"7,904",3,1606 N 7TH ST,,TERRE HAUTE,IN,47804,8122387865,,,,,,,,,,,,,,
237077256,PORAC RETIREE MEDICAL TRUST,,Taft-Hartley Trust,"7,856",1,PO BOX 6,,MUKILTEO,WA,98275,8882581912,,,,,,,,,,,,,,
237009055,THE TRUSTEES OF THE WISCONSIN LABORERS' HEALTH FUND,,Taft-Hartley Trust,"7,822",1,4633 LIUNA WAY,,DEFOREST,WI,53532,6088461742,,,,,,,,,,,,,,
131421730,UNION CARBIDE CORPORATION,,Taft-Hartley Trust,"7,793",2,GLOBAL DOW CENTER,2211 H.H. DOW WAY,MIDLAND,MI,48674,9896361000,,,,,,,,,,,,,,
261318190,DANA LIMITED,,Taft-Hartley Trust,"7,779",2,P.O. BOX 1000,,MAUMEE,OH,43537,4198873000,,,,,,,,,,,,,,
910511770,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,,Taft-Hartley Trust,"7,767",1,"ONE KAISER PLAZA, SUITE 2001",20TH FLOOR,OAKLAND,CA,94612,5102715940,,,,,,,,,,,,,,
916029124,BOARD OF TRUSTEES PUGET SOUND ELECTRICAL WORKERS,HEALTHCARE TRUST,Taft-Hartley Trust,"7,736",1,PO BOX 34203,,SEATTLE,WA,98124,2064417574,,,,,,,,,,,,,,
586055205,UFCW LOCAL 1995 & EMPLOYER HEALTH & WELFARE FUND,,Taft-Hartley Trust,"7,712",1,1740 PHOENIX PARKWAY,,ATLANTA,GA,30349,7709979910,,,,,,,,,,,,,,
310656412,BOARD OF TRUSTEES OF THE UFCW UNIONS AND EMPLOYERS H&W PLAN OF CENTRAL,,Taft-Hartley Trust,"7,684",1,"7250 POE AVENUE, SUITE 300",,DAYTON,OH,45414,9376651900,,,,,,,,,,,,,,
362941623,UNITE HERE LOCAL 25 & HOTEL ASSOCIATION OF WASHINGTON DC HEALTH & WELF,,Taft-Hartley Trust,"7,655",1,911 RIDGEBROOK ROAD,,SPARKS,MD,21152,4106836500,,,,,,,,,,,,,,
222563898,THE COOPER HEALTH SYSTEM,,Taft-Hartley Trust,"7,614",1,ONE COOPER PLAZA,,CAMDEN,NJ,8103,8563422288,,,,,,,,,,,,,,
350917610,BOARD OF TRUSTEES - MID CENTRAL,WELFARE FUND,Taft-Hartley Trust,"7,597",1,1100 POPLAR STREET,,TERRE HAUTE,IN,47807,8122324384,,,,,,,,,,,,,,
530196580,CHILDRENS NATIONAL MEDICAL CENTER HUMAN RESOURCES DEPT,,Taft-Hartley Trust,"7,536",1,111 MICHIGAN AVE NW,,WASHINGTON,DC,20010,2027453188,,,,,,,,,,,,,,
160864443,ROCHESTER REGIONAL JOINT BOARD,,Taft-Hartley Trust,"7,477",1,750 EAST AVENUE,,ROCHESTER,NY,14607,5854732000,,,,,,,,,,,,,,
381294556,SECURITY POLICE FIRE PROFESSIONALS OF AMERICA,,Taft-Hartley Trust,"7,449",1,25510 KELLY RD.,,ROSEVILLE,MI,48066,5867727250,,,,,,,,,,,,,,
136092981,BOARD OF TRUSTEES OF THE EQUITY-LEAGUE HEALTH TRUST FUND,,Taft-Hartley Trust,"7,438",1,165 WEST 46TH STREET 14TH FLOOR,,NEW YORK,NY,10036,2128699380,,,,,,,,,,,,,,
237067814,INDIANA STATE COUNCIL OF ROOFERS TRUST FOR HEALTH AND WELFARE,,Taft-Hartley Trust,"7,427",1,3440 KOSSUTH ST,PO BOX 5769,LAFAYETTE,IN,47903,7654478803,,,,,,,,,,,,,,
61188411,BOARD OF TRUSTES-NEW ENGLAND HEALTH CARE EMPL WELFARE FD,,Taft-Hartley Trust,"7,336",1,77 HUYSHOPE AVENUE,2ND FLOOR,HARTFORD,CT,6106,8607281100,,,,,,,,,,,,,,
330490874,"BOARD OF TRUSTEES, SHEET METAL WORKERS LOCAL 105",HEALTH REIMBURSEMENT PLAN,Taft-Hartley Trust,"7,314",1,160 W SANTA CLARA ST STE 1550,,SAN JOSE,CA,95113,4082981170,,,,,,,,,,,,,,
136313146,BOARD OF TRUSTEES LOCAL 338 BENEFITS FUND,,Taft-Hartley Trust,"7,273",1,1505 KELLUM PLACE,,MINEOLA,NY,11501,5162941338,,,,,,,,,,,,,,
340753693,JOINT BOT CLEVELAND BAKERS AND TEAMSTERS H & W FUND,,Taft-Hartley Trust,"7,247",1,9665 ROCKSIDE ROAD,SUITE C,VALLEY VIEW,OH,44125,2167816858,,,,,,,,,,,,,,
362376645,CENTRAL STATES JOINT BOARD HEALTH AND WELFARE TRUST FUND,,Taft-Hartley Trust,"7,163",1,245 FENCL LANE,,HILLSIDE,IL,60162,3127380822,,,,,,,,,,,,,,
226033381,OPERATING ENGINEERS LOCAL NO. 825 WELFARE FUND,,Taft-Hartley Trust,"7,131",2,"65 SPRINGFIELD AVENUE, SECOND FLOOR",,SPRINGFIELD,NJ,7081,9739211661,,,,,,,,,,,,,,
530204707,HOWARD UNIVERSITY,,Taft-Hartley Trust,"7,114",1,2244 10TH STREET NW SUITE 422,,WASHINGTON,DC,20059,2028061280,,,,,,,,,,,,,,
256035806,LABORERS DISTRICT COUNCIL OF W. PA WELFARE FUND BOARD OF TRUSTEES,,Taft-Hartley Trust,"7,111",1,"12 EIGHTH STREET, SUITE 500",,PITTSBURGH,PA,15222,4122630900,,,,,,,,,,,,,,
382427401,MUFCW UNIONS AND EMPLOYERS HEALTH & WELFARE,,Taft-Hartley Trust,"7,095",1,876 HORACE BROWN DRIVE,ROOM 300,MADISON HEIGHTS,MI,48071,2485859610,,,,,,,,,,,,,,
410761972,BOARD OF TRUSTEES OF THE PIPE TRADES SERVICES MN WELFARE FUND,,Taft-Hartley Trust,"7,044",1,"4461 WHITE BEAR PARKWAY, SUITE 1",,WHITE BEAR LAKE,MN,55110,6516454540,,,,,,,,,,,,,,
930643913,BD OF TR - OR-WA CARPENTERS-EMPLYRS H&W TRUST FUND,THE OREGON-WASHINGTON CARPENTERS-,Taft-Hartley Trust,"7,024",1,PO BOX 4148,,PORTLAND,OR,97208,5032825581,,,,,,,,,,,,,,
620978539,U.F.C.W LOCAL NO 1529 & CONTRIB EMPLOYERS H&W,CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND,Taft-Hartley Trust,"6,971",1,"8130 MACON STATION, STE 101",,CORDOVA,TN,38018,9017583004,,,,,,,,,,,,,,
956981657,"BOARD OF TRUSTEES, WESTERN ALLIANCE TRUST FUND",,Taft-Hartley Trust,"6,930",1,1000 N GLENDALE AVE STE 400,,GLENDALE,CA,91202,8182430222,,,,,,,,,,,,,,
941291152,CEMENT MASONS HEALTH & WELFARE FUND FOR NORTHERN CALIFORNIA,,Taft-Hartley Trust,"6,909",2,"1600 HARBOR BAY PARKWAY, SUITE 200",SUITE 200,ALAMEDA,CA,94502,4155368253,,,,,,,,,,,,,,
530209136,JOINT BOARD OF TRUSTEES OF LOCAL 639 EMPLOYERS HEALTH TRUST FUND,,Taft-Hartley Trust,"6,898",1,3130 AMES PLACE NE,,WASHINGTON,DC,20018,2026368181,,,,,,,,,,,,,,
10749311,UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND,,Taft-Hartley Trust,"6,885",1,27 ROLAND AVENUE,,MT LAUREL,NJ,8054,8567730850,,,,,,,,,,,,,,
943138272,BOARD OF TRUSTEES OF TEAMSTERS MANAGED HEALTH CARE,TRUST FUND,Taft-Hartley Trust,"6,877",1,P.O. BOX 757,,PLEASANTON,CA,94566,9254263555,,,,,,,,,,,,,,
205003549,TEAMSTERS LOCAL 210 AFFILIATED HEALTH & INSURANCE FUND,,Taft-Hartley Trust,"6,869",1,2556 ARTHUR KILL ROAD,,STATEN ISLAND,NY,10309,7189668200,,,,,,,,,,,,,,
161657260,BOARD OF TRUSTEES OF TWIN CITY PIPE TRADES RETIREE HEALTH TRUST,,Taft-Hartley Trust,"6,855",1,4461 WHITE BEAR PARKWAY,,WHITE BEAR LAKE,MN,55110,6516454540,,,,,,,,,,,,,,
910597991,"BOARD OF TRUSTEES, EMPLOYEE PAINTERS' TRUST HEALTH",AND WELFARE PLAN,Taft-Hartley Trust,"6,758",1,18300 CASCADE AVE S STE 141,,TUKWILA,WA,98188,2065189730,,,,,,,,,,,,,,
942541328,BOARD OF TRUSTEES SHEET METAL WORKERS LOCAL 104,HEALTH CARE PLAN,Taft-Hartley Trust,"6,704",1,"2610 CROW CANYON ROAD, SUITE 200",,SAN RAMON,CA,94583,9252089994,,,,,,,,,,,,,,
271404121,"VEBA COMMITTEE, ATI-USW VEBA TRUST",,Taft-Hartley Trust,"6,682",1,"60 BOULEVARD OF THE ALLIES, 5TH FL",,PITTSBURGH,PA,15222,4122012242,,,,,,,,,,,,,,
362331071,AUTOMOBILE MECHANICS' LOCAL NO. 701 UNION AND INDUSTRY WELFARE,,Taft-Hartley Trust,"6,655",1,361 S. FRONTAGE ROAD,SUITE 100,BURR RIDGE,IL,60527,7084820110,,,,,,,,,,,,,,
236263170,CENTRAL PENNSYLVANIA TEAMSTERS HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"6,617",1,1055 SPRING STREET,,WYOMISSING,PA,19610,6103205500,,,,,,,,,,,,,,
237083247,"BD OF TRUSTEES UFCW, LOCAL 1776KS, WD AND EMPLOYERS HEALTH FUND",,Taft-Hartley Trust,"6,592",1,345 SOUTHPOINTE BLVD STE 200,,CANONSBURG,PA,15317,7247434260,,,,,,,,,,,,,,
956052259,"BOARD OF TRUSTEES, SHEET METAL WORKERS' HEALTH PLAN OF","SOUTHERN CALIFORNIA, ARIZONA AND",Taft-Hartley Trust,"6,583",1,111 N SEPULVEDA BLVD STE 100,,MANHATTAN BEACH,CA,90266,3107986572,,,,,,,,,,,,,,
131615440,EXCAVATORS UNION 731 WELFARE,,Taft-Hartley Trust,"6,576",1,34-11 35TH AVENUE,,ASTORIA,NY,11106,7183910430,,,,,,,,,,,,,,
386058384,BOARD OF TRUSTEES MICHIGAN LABORERS' HEALTH CARE FUND,,Taft-Hartley Trust,"6,564",1,6525 CENTURION DRIVE,,LANSING,MI,48917,5173217502,,,,,,,,,,,,,,
